"Treatment.Act","BA","Recovery","low","med","high"
"Control",59,NA,13.5872284194452,14.2800419229254,14.9742839795544
"Control",59.1,NA,13.589042443031,14.2804772046616,14.9730592483538
"Control",59.2,NA,13.5908526887982,14.2807954195035,14.9723522509297
"Control",59.3,NA,13.5929632316964,14.2812108604021,14.9711836359952
"Control",59.4,NA,13.5942599831329,14.2817686274339,14.9704594061419
"Control",59.5,NA,13.5954559229641,14.2822402852466,14.9694818155511
"Control",59.6,NA,13.5970050400997,14.2827562600937,14.9683948561992
"Control",59.7,NA,13.5987462315471,14.2832552008282,14.9676369754046
"Control",59.8,NA,13.6000175183181,14.2835851185654,14.9659670495921
"Control",59.9,NA,13.6012471461015,14.2841294225025,14.9653660984855
"Control",60,NA,13.6031921565854,14.2846882428082,14.9642913812038
"Control",60.1,NA,13.6044163260133,14.2852031954281,14.9635379990018
"Control",60.2,NA,13.6056263168555,14.2856143727255,14.9633744196769
"Control",60.3,NA,13.6073679356221,14.2862763530446,14.9622748069203
"Control",60.4,NA,13.6090407152631,14.286579059288,14.9619402666187
"Control",60.5,NA,13.61029487065,14.2870983884551,14.961693534052
"Control",60.6,NA,13.6112918976686,14.2874454410828,14.9614160554531
"Control",60.7,NA,13.6130063551728,14.2880398921628,14.9612626162233
"Control",60.8,NA,13.6147796766173,14.2883838410793,14.9603763092976
"Control",60.9,NA,13.6165136308724,14.2887105342963,14.960278466358
"Control",61,NA,13.6174476459583,14.2893088625806,14.9597413622139
"Control",61.1,NA,13.61875147798,14.2898970531273,14.959039201449
"Control",61.2,NA,13.619981154322,14.2903264464551,14.9579961617453
"Control",61.3,NA,13.6221333214761,14.2907538933819,14.9569022121003
"Control",61.4,NA,13.6234063757215,14.2913285291218,14.9557924150481
"Control",61.5,NA,13.624435256547,14.2916211241371,14.9557290784126
"Control",61.6,NA,13.6259496030513,14.2920630559214,14.9553062339195
"Control",61.7,NA,13.6278079591739,14.2924936461568,14.9545797755179
"Control",61.8,NA,13.6295086241076,14.2928414595959,14.9537756827552
"Control",61.9,NA,13.6311027407281,14.293279470285,14.9536868004971
"Control",62,NA,13.6320766184485,14.2935720815571,14.9536598272108
"Control",62.1,NA,13.6331396214086,14.2941178190282,14.9533560107318
"Control",62.2,NA,13.6343282351532,14.2943682650124,14.9530361297052
"Control",62.3,NA,13.6362108327491,14.2945728319867,14.9527310556622
"Control",62.4,NA,13.6373400577023,14.2951063647765,14.9524908484308
"Control",62.5,NA,13.6393344067003,14.2957954580797,14.9514496882353
"Control",62.6,NA,13.640634277424,14.2959971914106,14.950482674089
"Control",62.7,NA,13.6413664240699,14.2965062773916,14.9505960374866
"Control",62.8,NA,13.6428352865165,14.297054246709,14.949875312466
"Control",62.9,NA,13.6447456913105,14.2979002262535,14.9492638406231
"Control",63,NA,13.64632875968,14.2982582584401,14.9489905641715
"Control",63.1,NA,13.6472543509489,14.2987996286545,14.9480767770341
"Control",63.2,NA,13.6484996824373,14.2992169226024,14.9476134146265
"Control",63.3,NA,13.6498559891688,14.2996240591344,14.9477265288902
"Control",63.4,NA,13.6519258618937,14.3002075726717,14.9468463080299
"Control",63.5,NA,13.6531871599333,14.300345137275,14.9467476930934
"Control",63.6,NA,13.6550374162752,14.3007521963235,14.9464091805863
"Control",63.7,NA,13.6560077978758,14.3011571797473,14.9461192678309
"Control",63.8,NA,13.6571770046577,14.3016706645709,14.9453819457032
"Control",63.9,NA,13.6584252371564,14.3022509223333,14.9456375401852
"Control",64,NA,13.659965564823,14.3025126286975,14.9447045336793
"Control",64.1,NA,13.6621488444291,14.3032113758469,14.9438591405177
"Control",64.2,NA,13.6635611708159,14.303546451651,14.9427620471081
"Control",64.3,NA,13.6652658812161,14.3040676799172,14.9420849787292
"Control",64.4,NA,13.6668506784362,14.3046225218098,14.9410509881606
"Control",64.5,NA,13.6682296278609,14.3052072945946,14.9410056394714
"Control",64.6,NA,13.6691768936444,14.3058082144576,14.9408016434235
"Control",64.7,NA,13.6712020983401,14.3064422663318,14.9403212157633
"Control",64.8,NA,13.672460168524,14.3069615557346,14.9397776123555
"Control",64.9,NA,13.6736624339341,14.3074919209187,14.9387827529495
"Control",65,NA,13.6753866405125,14.3081169516246,14.9380134763278
"Control",65.1,NA,13.6768415969011,14.3085671158718,14.937664204686
"Control",65.2,NA,13.6776850024808,14.3091401218343,14.9374551014964
"Control",65.3,NA,13.6788139513773,14.3097362406745,14.9365409499635
"Control",65.4,NA,13.6801946214538,14.3101123684256,14.9362389116783
"Control",65.5,NA,13.6814880651166,14.3104242590037,14.9361856369599
"Control",65.6,NA,13.6830677236874,14.3108870529639,14.9360740609877
"Control",65.7,NA,13.6839225703149,14.3112970254636,14.9354583917966
"Control",65.8,NA,13.6856285900493,14.3118293725666,14.934571635786
"Control",65.9,NA,13.6871069574586,14.3121051107808,14.9346031887156
"Control",66,NA,13.6882560283383,14.3127216468298,14.9349085454617
"Control",66.1,NA,13.6883748831577,14.3130891956938,14.934086285582
"Control",66.2,NA,13.6895361541873,14.3135933903024,14.9338279082879
"Control",66.3,NA,13.6908014275488,14.3142864425978,14.9337041666688
"Control",66.4,NA,13.6924616593011,14.3148078984804,14.9334922363543
"Control",66.5,NA,13.6936448643829,14.3153662980129,14.9332452133661
"Control",66.6,NA,13.6944938330317,14.315653906918,14.9327913805485
"Control",66.7,NA,13.6959704565458,14.3161706654779,14.9328920498588
"Control",66.8,NA,13.6964461870812,14.3166874392379,14.9323431686099
"Control",66.9,NA,13.6976142141415,14.3172477536627,14.9314755918518
"Control",67,NA,13.6985755215156,14.3177142285364,14.9314818411468
"Control",67.1,NA,13.7003315545881,14.3181911264802,14.9311692929976
"Control",67.2,NA,13.7023789180425,14.3186666297006,14.9309701373021
"Control",67.3,NA,13.7030562266624,14.3190365756045,14.9308187739508
"Control",67.4,NA,13.7044739176133,14.3198370770769,14.9304045201437
"Control",67.5,NA,13.7059533074914,14.3201257031483,14.9309710568468
"Control",67.6,NA,13.7072605123902,14.3206943958215,14.9304794079328
"Control",67.7,NA,13.7087253466323,14.3210320647368,14.9298982416832
"Control",67.8,NA,13.7084436661159,14.3214567225583,14.9293105559315
"Control",67.9,NA,13.7101488265409,14.3218950431454,14.928962201911
"Control",68,NA,13.7122116501404,14.3221157667159,14.9294004616235
"Control",68.1,NA,13.7136627755034,14.3226716722906,14.9288596390957
"Control",68.2,NA,13.7137189575179,14.323001379583,14.9287491870511
"Control",68.3,NA,13.7150435996923,14.323597434951,14.9285223336739
"Control",68.4,NA,13.7163595889249,14.3238668460831,14.9277999528851
"Control",68.5,NA,13.7173476699915,14.3242131410726,14.9283045866823
"Control",68.6,NA,13.7184601858142,14.3245828273601,14.9285122900237
"Control",68.7,NA,13.7202472533049,14.3251308356022,14.9280655984708
"Control",68.8,NA,13.7213905006164,14.3255633030713,14.9278185933818
"Control",68.9,NA,13.722784985317,14.3259474093031,14.9274643347447
"Control",69,NA,13.7239266556566,14.3262831924099,14.9275009657006
"Control",69.1,NA,13.7261747163346,14.3268269130258,14.927381072405
"Control",69.2,NA,13.7267999073849,14.3273260956084,14.9277662709403
"Control",69.3,NA,13.7282603066266,14.32757857222,14.9271950145804
"Control",69.4,NA,13.7286612458971,14.328161980614,14.9275787887781
"Control",69.5,NA,13.7297517866177,14.3287359130849,14.9272010102645
"Control",69.6,NA,13.7306441445904,14.3290934741703,14.9266507985609
"Control",69.7,NA,13.7318716326988,14.3294411584283,14.9264781092177
"Control",69.8,NA,13.7331128624656,14.3297694292513,14.9266448986704
"Control",69.9,NA,13.7343422521235,14.3301523009393,14.9262110308133
"Control",70,NA,13.7347427303101,14.330742447435,14.9265777910345
"Control",70.1,NA,13.7353307380274,14.3311139573974,14.9267069360397
"Control",70.2,NA,13.7363497480712,14.3315726602619,14.9262674097519
"Control",70.3,NA,13.7373620528473,14.3318736155294,14.9260151170131
"Control",70.4,NA,13.7387242692426,14.3321461398602,14.9264470481098
"Control",70.5,NA,13.7399839469686,14.3327454942709,14.9264395363684
"Control",70.6,NA,13.7408905680703,14.3330708391161,14.9263261787619
"Control",70.7,NA,13.7424205119752,14.3335861097307,14.9263556251127
"Control",70.8,NA,13.7434015543031,14.3337759855986,14.9260335807972
"Control",70.9,NA,13.744803956357,14.3341726077539,14.9258151579033
"Control",71,NA,13.7455238453764,14.3348170732877,14.9256974936028
"Control",71.1,NA,13.7462922172924,14.335063169121,14.9254119478922
"Control",71.2,NA,13.7473062588824,14.3355010128569,14.9257914313512
"Control",71.3,NA,13.7482871251559,14.3361509821725,14.925323130167
"Control",71.4,NA,13.7492633752534,14.3368102320539,14.9251866311791
"Control",71.5,NA,13.7502398218758,14.3373794950661,14.9249826754766
"Control",71.6,NA,13.7512626291459,14.3378331255316,14.9251101410323
"Control",71.7,NA,13.7518235235822,14.338386181302,14.9253958246443
"Control",71.8,NA,13.7524840725564,14.3387937903137,14.9255922026744
"Control",71.9,NA,13.7530051768783,14.3391495857272,14.9256707594984
"Control",72,NA,13.7537117389798,14.3395208568753,14.9254599889571
"Control",72.1,NA,13.7548182318345,14.340057246708,14.9251798812597
"Control",72.2,NA,13.755240608462,14.3405167690051,14.9242863542078
"Control",72.3,NA,13.7564948571187,14.3409540756384,14.9237362244928
"Control",72.4,NA,13.7574498444367,14.3414113448398,14.9237217323308
"Control",72.5,NA,13.7581847788678,14.3418520604803,14.9243547680436
"Control",72.6,NA,13.7589651659229,14.3422452401429,14.9240813864904
"Control",72.7,NA,13.7597402230081,14.3426539105442,14.9242073564502
"Control",72.8,NA,13.7604869158955,14.3432740642583,14.9246137653985
"Control",72.9,NA,13.7616985567976,14.3436465082828,14.9246233328661
"Control",73,NA,13.7619995692238,14.3442943769847,14.924941995226
"Control",73.1,NA,13.7627571464444,14.3447825544859,14.9252838078009
"Control",73.2,NA,13.7633856787727,14.3451549632864,14.9251274046082
"Control",73.3,NA,13.7639619341241,14.3455392182555,14.924988634759
"Control",73.4,NA,13.7651669236421,14.3462518759675,14.9256834282719
"Control",73.5,NA,13.7662202430912,14.3469452597462,14.9256919451085
"Control",73.6,NA,13.7670099548667,14.3474817987716,14.9255050365586
"Control",73.7,NA,13.7680094805732,14.3481075825787,14.9259412660312
"Control",73.8,NA,13.7688182314419,14.3485234691814,14.9257841397355
"Control",73.9,NA,13.7699461316573,14.3489606636293,14.926416536125
"Control",74,NA,13.7704808766211,14.3495703140931,14.9265951329249
"Control",74.1,NA,13.7705963448005,14.3499418866658,14.9268918656711
"Control",74.2,NA,13.7720405009506,14.350391115491,14.9272753480855
"Control",74.3,NA,13.7740046141075,14.3508035709976,14.9273925185822
"Control",74.4,NA,13.7749873131215,14.35130075342,14.9280034674436
"Control",74.5,NA,13.7767588307987,14.3516142165882,14.928051468467
"Control",74.6,NA,13.7773994794918,14.352000024164,14.9280769934303
"Control",74.7,NA,13.7781997552243,14.3525992596663,14.9285025859892
"Control",74.8,NA,13.7793197245262,14.3529202769422,14.9285444256772
"Control",74.9,NA,13.7796253394478,14.353364971351,14.9287510020759
"Control",75,NA,13.7806566596141,14.3539195603147,14.9285939350446
"Control",75.1,NA,13.7817079623752,14.3543600222046,14.9287140661812
"Control",75.2,NA,13.7819328075656,14.3547124574516,14.9287802224597
"Control",75.3,NA,13.7830135023751,14.3552995002988,14.9285917663261
"Control",75.4,NA,13.7831619086093,14.3557042294566,14.928605205513
"Control",75.5,NA,13.7837484303596,14.3559452859751,14.9295240769937
"Control",75.6,NA,13.7843037044627,14.3565988363003,14.9294714512306
"Control",75.7,NA,13.7849220178568,14.3569951204123,14.9297598005946
"Control",75.8,NA,13.7853372198462,14.3573580483429,14.9299789153744
"Control",75.9,NA,13.7862405199115,14.3577458411906,14.9302118913679
"Control",76,NA,13.7873862708862,14.3579600338741,14.9297491508542
"Control",76.1,NA,13.7878588773559,14.3584181171234,14.9299908076116
"Control",76.2,NA,13.7887048523293,14.3587739868726,14.9305262962923
"Control",76.3,NA,13.7879499142088,14.3592143376307,14.9311180259682
"Control",76.4,NA,13.7882913088663,14.3594328612877,14.9314546965132
"Control",76.5,NA,13.7889849721007,14.360009796425,14.931534790807
"Control",76.6,NA,13.7893707612099,14.3606136271759,14.9314388908932
"Control",76.7,NA,13.789698031144,14.3609689749569,14.9316623263606
"Control",76.8,NA,13.7906294514198,14.3614129053475,14.9324489846686
"Control",76.9,NA,13.7907741864506,14.361889727838,14.9328144029997
"Control",77,NA,13.7903682384329,14.3623785941513,14.9329380957284
"Control",77.1,NA,13.7902112930735,14.3627974143496,14.9328994822961
"Control",77.2,NA,13.7910370244769,14.3633737916684,14.9331122500121
"Control",77.3,NA,13.7924674220831,14.3638426086574,14.933463429693
"Control",77.4,NA,13.792947049646,14.3641581957774,14.9339899994281
"Control",77.5,NA,13.7928619506949,14.3645614915488,14.933660422288
"Control",77.6,NA,13.7933754666047,14.3649417741048,14.9338003124354
"Control",77.7,NA,13.7949004529246,14.3653439889711,14.9338023305653
"Control",77.8,NA,13.7955935120349,14.3658600624481,14.9347244844238
"Control",77.9,NA,13.796126762463,14.366237361944,14.9344703199479
"Control",78,NA,13.7964863649571,14.3667917466691,14.9348121575014
"Control",78.1,NA,13.7971216276955,14.3672964012411,14.9350822495267
"Control",78.2,NA,13.7981469536568,14.3678681357449,14.9357134928196
"Control",78.3,NA,13.7986290387342,14.36821769027,14.936552892839
"Control",78.4,NA,13.7992423502254,14.3687522844108,14.9370665081622
"Control",78.5,NA,13.7998014146303,14.3690259056511,14.9373183106983
"Control",78.6,NA,13.8009165260174,14.3692597011871,14.9376834316384
"Control",78.7,NA,13.801076191295,14.3696706282073,14.9384882333399
"Control",78.8,NA,13.800861502014,14.3700113368801,14.9389015453878
"Control",78.9,NA,13.8017342549299,14.3705744547439,14.9389298532652
"Control",79,NA,13.8022215301726,14.3709137984918,14.9397097540112
"Control",79.1,NA,13.8035132677768,14.3711508987893,14.940468500978
"Control",79.2,NA,13.8039567674516,14.3716126330126,14.9402418475461
"Control",79.3,NA,13.8047550543107,14.3720521351112,14.9402291817115
"Control",79.4,NA,13.8043417621964,14.3725954534383,14.9406605826935
"Control",79.5,NA,13.8041627451856,14.3729251408324,14.9409811068428
"Control",79.6,NA,13.8043766253817,14.3734780250512,14.9418915856031
"Control",79.7,NA,13.8046569263601,14.3739318540189,14.9429771659517
"Control",79.8,NA,13.805141725135,14.3742568310831,14.9433322771185
"Control",79.9,NA,13.806063713397,14.3748075131208,14.9436847473278
"Control",80,NA,13.8064054235305,14.3753655307615,14.9437567838436
"Control",80.1,NA,13.8068220257906,14.3760808696165,14.9437781549729
"Control",80.2,NA,13.8072578337752,14.3765083199244,14.9444697135303
