"Treatment.Act","BA","Recovery","cp.requirements","low","med","high"
"Control",49.1,NA,6,490.279827669177,816.762557730863,1343.06007580344
"Control",49.2,NA,6,490.669754271678,816.288649836119,1341.20611984873
"Control",49.3,NA,6,490.872296653311,815.84058822485,1339.12649089816
"Control",49.4,NA,6,491.150731796873,815.463584912523,1336.78457422583
"Control",49.5,NA,6,491.416938885282,814.985376936663,1334.59049726112
"Control",49.6,NA,6,491.698920940009,814.547521945036,1332.20454175314
"Control",49.7,NA,6,491.969473448161,814.085860199901,1330.4950593043
"Control",49.8,NA,6,492.076248079805,813.577739807504,1328.7902491477
"Control",49.9,NA,6,492.245905092915,813.070676604867,1327.28894147487
"Control",50,NA,6,492.5851466443,812.537021721395,1325.35919436741
"Control",50.1,NA,6,492.955297089772,812.089369521738,1323.15296672186
"Control",50.2,NA,6,493.343323732532,811.599939515016,1321.5377430801
"Control",50.3,NA,6,493.472814478888,811.11503063357,1319.40666118518
"Control",50.4,NA,6,493.740611818948,810.630281024835,1317.82201086158
"Control",50.5,NA,6,493.977952356302,810.177446172627,1315.69047670455
"Control",50.6,NA,6,494.135703450475,809.679236552502,1313.4579324075
"Control",50.7,NA,6,494.31204023566,809.184778778602,1311.06903477507
"Control",50.8,NA,6,494.724614862004,808.794438059717,1308.77361380056
"Control",50.9,NA,6,495.193311741887,808.337040698646,1306.3044368519
"Control",51,NA,6,495.591182910468,807.876825778634,1304.56560908016
"Control",51.1,NA,6,495.799351707131,807.364758459555,1302.09874844332
"Control",51.2,NA,6,495.834241725924,806.969550039254,1300.21257171186
"Control",51.3,NA,6,496.177141215472,806.529626760546,1297.91713484018
"Control",51.4,NA,6,496.44288357604,806.024853261866,1295.80764749188
"Control",51.5,NA,6,496.904438818373,805.525429968673,1293.25638258153
"Control",51.6,NA,6,497.313841205411,805.067608089616,1291.21714862471
"Control",51.7,NA,6,497.514586383341,804.538456135057,1288.86075422591
"Control",51.8,NA,6,497.674091454187,803.96343554909,1286.70433660032
"Control",51.9,NA,6,497.930140795592,803.50225300543,1284.68717201673
"Control",52,NA,6,498.168535082728,802.955422801496,1282.59579216274
"Control",52.1,NA,6,498.399452040502,802.39865926236,1280.64009024845
"Control",52.2,NA,6,498.730834954755,801.923564663229,1278.04758302812
"Control",52.3,NA,6,499.058121481192,801.440808044734,1275.80050833464
"Control",52.4,NA,6,499.265412787109,801.036448359058,1273.82274374517
"Control",52.5,NA,6,499.558500668096,800.502211520626,1271.71840779116
"Control",52.6,NA,6,499.810617063011,800.021731306696,1269.51464355353
"Control",52.7,NA,6,500.167356055409,799.480717336123,1267.49136639704
"Control",52.8,NA,6,500.345888285111,799.030352493726,1265.69030609876
"Control",52.9,NA,6,500.701124215096,798.559089605108,1263.82117125988
"Control",53,NA,6,500.821512341238,798.167013270784,1261.89880472397
"Control",53.1,NA,6,500.938755564137,797.783194344954,1260.06348229696
"Control",53.2,NA,6,501.058627316859,797.364252533522,1258.15361555147
"Control",53.3,NA,6,501.222759842097,796.822690380989,1256.33162622653
"Control",53.4,NA,6,501.409171858742,796.309936478425,1254.47152811867
"Control",53.5,NA,6,501.621778246138,795.873387789895,1252.24087325543
"Control",53.6,NA,6,501.724530165539,795.418645665767,1250.33164506123
"Control",53.7,NA,6,501.906706041674,795.008856595623,1248.24705891566
"Control",53.8,NA,6,502.290479127928,794.590382428955,1246.45704899022
"Control",53.9,NA,6,502.587578085746,794.138983122422,1244.64994682087
"Control",54,NA,6,502.877834213043,793.653322664133,1242.47966471587
"Control",54.1,NA,6,503.22420321958,793.219618764025,1240.40736467895
"Control",54.2,NA,6,503.405746322772,792.758083194624,1238.53787972841
"Control",54.3,NA,6,503.704837545485,792.447285035394,1236.41859891726
"Control",54.4,NA,6,503.866307547234,792.005963501656,1234.43390898225
"Control",54.5,NA,6,503.817833700553,791.600013222656,1232.52238160913
"Control",54.6,NA,6,503.924608749579,791.106634700871,1230.38221924541
"Control",54.7,NA,6,504.233048897894,790.6206123571,1228.63555997685
"Control",54.8,NA,6,504.317016795855,790.082022179437,1226.97635109516
"Control",54.9,NA,6,504.447806383646,789.562886535855,1225.2212130599
"Control",55,NA,6,504.712933754488,789.05038053909,1223.65881477871
"Control",55.1,NA,6,505.041251143865,788.50751618445,1222.14736106748
"Control",55.2,NA,6,505.270121073697,788.091200403549,1219.98460299218
"Control",55.3,NA,6,505.684183274994,787.626286620894,1217.87634353131
"Control",55.4,NA,6,505.948164551085,787.228732547579,1216.04621832916
"Control",55.5,NA,6,505.924341638688,786.78603952272,1214.24710561049
"Control",55.6,NA,6,506.195701065452,786.3742736049,1212.42075365712
"Control",55.7,NA,6,506.296806448663,785.883242485102,1210.75640970989
"Control",55.8,NA,6,506.682525055419,785.451974438398,1209.03659544576
"Control",55.9,NA,6,506.88045725628,785.092496726003,1207.65266707334
"Control",56,NA,6,507.037668362511,784.603063440426,1205.73876471261
"Control",56.1,NA,6,507.380624924875,784.13949447424,1203.90244513571
"Control",56.2,NA,6,507.676503414657,783.705389685672,1202.24202107276
"Control",56.3,NA,6,507.828804184181,783.268148203321,1200.5777527353
"Control",56.4,NA,6,508.135697913242,782.875604340152,1198.70644765294
"Control",56.5,NA,6,508.450176979334,782.424304843993,1196.67876207664
"Control",56.6,NA,6,508.694546846933,782.033791632372,1194.68184295254
"Control",56.7,NA,6,508.766543464598,781.59992975459,1192.60130067537
"Control",56.8,NA,6,509.080268762966,781.222056370645,1190.75375725387
"Control",56.9,NA,6,509.229973306288,780.704194563366,1189.02504149307
"Control",57,NA,6,509.356773689669,780.304985300072,1187.24276211705
"Control",57.1,NA,6,509.624320708527,779.848708491186,1185.55947761538
"Control",57.2,NA,6,510.059423483921,779.37441413929,1183.97008985649
"Control",57.3,NA,6,510.424198245443,778.871404557211,1182.20680514964
"Control",57.4,NA,6,510.75418188264,778.533469586754,1180.85070831617
"Control",57.5,NA,6,511.048247404942,778.001011827557,1179.17010005007
"Control",57.6,NA,6,511.322037784427,777.533389691567,1177.18757438286
"Control",57.7,NA,6,511.534058371715,777.079799030828,1175.50805269289
"Control",57.8,NA,6,511.535033405816,776.665719180492,1173.70374561844
"Control",57.9,NA,6,511.680225776375,776.248130215025,1172.11781859721
"Control",58,NA,6,511.709808892453,775.745201350484,1170.46063306756
"Control",58.1,NA,6,511.841463096961,775.264633731447,1168.63312687769
"Control",58.2,NA,6,512.016286532429,774.79739517015,1166.9883536605
"Control",58.3,NA,6,512.335023798659,774.440558580935,1165.4997299285
"Control",58.4,NA,6,512.800075809173,773.959631191351,1163.6330832697
"Control",58.5,NA,6,513.058048473956,773.472592752147,1161.75538187808
"Control",58.6,NA,6,513.222717630992,772.965247479517,1159.98583583334
"Control",58.7,NA,6,513.290163319019,772.549458786425,1158.16928716985
